Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Malaysia,5276312,,37348.0,,5230953.0,,8011.0,11.0,159016.0,1126,68580916.0,2066869.0,33181072.0,Asia,6.0,888.0,0.0,,,241
Canada,4936603,,58560.0,,4865323.0,645.0,12720.0,99.0,128596.0,1525,66572774.0,1734189.0,38388419.0,North America,8.0,656.0,1.0,,,331
Belgium,4859804,,34376.0,,4823758.0,150.0,1670.0,,416497.0,2946,37454182.0,3209915.0,11668278.0,Europe,2.0,339.0,0.0,,,143
Israel,4841772,,12707.0,,4798473.0,,30592.0,,519169.0,1363,41373364.0,4436346.0,9326000.0,Asia,2.0,734.0,0.0,,,3280
DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3,,,25990679.0,Asia,5.0,351225.0,,,,
Thailand,4767700,,34569.0,,4692636.0,,40495.0,,68034.0,493,17273454.0,246488.0,70078203.0,Asia,15.0,2027.0,4.0,,,578
Czechia,4758761,,43510.0,,4714618.0,,633.0,2.0,443220.0,4052,57814864.0,5384747.0,10736784.0,Europe,2.0,247.0,0.0,,,59
Peru,4572667,,222161.0,,4350506.0,,0.0,4.0,135751.0,6595,39010194.0,1158115.0,33684208.0,South America,7.0,152.0,1.0,,,
Switzerland,4451785,,14452.0,,4436934.0,,399.0,,507405.0,1647,23833472.0,2716487.0,8773637.0,Europe,2.0,607.0,0.0,,,45
Philippines,4140383,,66864.0,,4067381.0,,6138.0,,36800.0,594,36102746.0,320888.0,112508994.0,Asia,27.0,1683.0,3.0,,,55
South Africa,4076463,,102595.0,,3912506.0,,61362.0,192.0,67095.0,1689,26795090.0,441027.0,60756135.0,Africa,15.0,592.0,2.0,,,1010
Romania,3527677,,68903.0,,3457170.0,,1604.0,42.0,185362.0,3621,28677918.0,1506879.0,19031335.0,Europe,5.0,276.0,1.0,,,84
Denmark,3183756,,8814.0,,3174942.0,,0.0,,545636.0,1511,129333107.0,22165247.0,5834950.0,Europe,2.0,662.0,0.0,,,
Singapore,3006155,,2024.0,,3004131.0,,0.0,4.0,505785.0,341,24756666.0,4165302.0,5943546.0,Asia,2.0,2937.0,0.0,,,
Hong Kong,2932172,,14681.0,,2912611.0,419.0,4880.0,,385594.0,1931,76127725.0,10011143.0,7604299.0,Asia,3.0,518.0,0.0,,,642
Sweden,2753556,,27354.0,,2725674.0,46.0,528.0,,269455.0,2677,19500873.0,1908301.0,10218971.0,Europe,4.0,374.0,1.0,,,52
Serbia,2614548,,18057.0,,2595987.0,,504.0,,302155.0,2087,13440321.0,1553253.0,8653016.0,Europe,3.0,479.0,1.0,,,58
New Zealand,2604202,,5594.0,,2594775.0,,3833.0,,531665.0,1142,7768604.0,1586011.0,4898203.0,Australia/Oceania,2.0,876.0,1.0,,,783
Iraq,2465545,,25375.0,,2439497.0,,673.0,,58474.0,602,19544451.0,463523.0,42164965.0,Asia,17.0,1662.0,2.0,,,16
Hungary,2229987,,49040.0,,2152155.0,,28792.0,,232139.0,5105,11394556.0,1186160.0,9606259.0,Europe,4.0,196.0,1.0,,,2997
Bangladesh,2048186,,29488.0,,,,,,12200.0,176,15254399.0,90862.0,167885689.0,Asia,82.0,5693.0,11.0,,,-175.64
Slovakia,1877383,,21221.0,,1856162.0,,0.0,23.0,343831.0,3886,7448789.0,1364199.0,5460193.0,Europe,3.0,257.0,1.0,,,
Georgia,1855289,,17132.0,,,,,,467476.0,4317,16920079.0,4263340.0,3968738.0,Asia,2.0,232.0,0.0,,,15524
Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371,17201885.0,1669945.0,10300869.0,Asia,6.0,729.0,1.0,,,181
Ireland,1733755,,9481.0,,1723629.0,,645.0,19.0,345356.0,1889,13083449.0,2606161.0,5020199.0,Europe,3.0,530.0,0.0,,,128
Pakistan,1581936,,30664.0,,1538689.0,,12583.0,,6893.0,134,30589153.0,133292.0,229488994.0,Asia,145.0,7484.0,8.0,,,55
Finland,1515707,,11949.0,,1503280.0,23.0,478.0,,272857.0,2151,12108977.0,2179850.0,5554960.0,Europe,4.0,465.0,0.0,,,86
Norway,1509732,,6638.0,,1503094.0,,0.0,,273930.0,1204,11002430.0,1996315.0,5511370.0,Europe,4.0,830.0,1.0,,,
Kazakhstan,1411831,,13848.0,,1383020.0,,14963.0,24.0,73514.0,721,11575012.0,602707.0,19205043.0,Asia,14.0,1387.0,2.0,,,779
Lithuania,1396895,7.0,9897.0,,1385991.0,28.0,1007.0,,524812.0,3718,10540357.0,3959997.0,2661708.0,Europe,2.0,269.0,0.0,3,,378
Slovenia,1356482,5.0,7100.0,,1349377.0,48.0,5.0,,652772.0,3417,2847701.0,1370382.0,2078034.0,Europe,2.0,293.0,1.0,2,,2
Bulgaria,1339576,2.0,38738.0,,1292668.0,,8170.0,35.0,195713.0,5660,11643356.0,1701102.0,6844597.0,Europe,5.0,177.0,1.0,0.3,,1194
Croatia,1309728,,18687.0,,1258432.0,,32609.0,,322650.0,4604,5660084.0,1394355.0,4059286.0,Europe,3.0,217.0,1.0,,,8033
Guatemala,1288588,,20285.0,,1265533.0,,2770.0,5.0,69338.0,1092,7593848.0,408622.0,18584039.0,North America,14.0,916.0,2.0,,,149
Morocco,1278944,,16301.0,,,,,,33859.0,432,13001033.0,344191.0,37772756.0,Africa,30.0,2317.0,3.0,,,172
Lebanon,1243838,,10952.0,,1087587.0,,145299.0,74.0,186068.0,1638,4795578.0,717380.0,6684849.0,Asia,5.0,610.0,1.0,,,21736
Costa Rica,1238883,,9428.0,,,,,,239058.0,1819,4659757.0,899158.0,5182354.0,North America,4.0,550.0,1.0,,,71154
Bolivia,1211716,,22407.0,,1177145.0,,12164.0,220.0,101038.0,1868,2710261.0,225993.0,11992656.0,South America,10.0,535.0,4.0,,,1014
Tunisia,1153361,,29423.0,,,,,,95741.0,2442,5013383.0,416164.0,12046656.0,Africa,10.0,409.0,2.0,,,1157
Cuba,1115243,,8530.0,,1106647.0,,66.0,,98645.0,754,14401151.0,1273801.0,11305652.0,North America,10.0,1325.0,1.0,,,6
Ecuador,1070188,,36043.0,,1034145.0,,0.0,,59083.0,1990,3082403.0,170173.0,18113361.0,South America,17.0,503.0,6.0,,,
UAE,1067030,,2349.0,,,,,,105837.0,233,200732262.0,19910389.0,10081785.0,Asia,9.0,4292.0,0.0,,,1007
Panama,1059893,,8727.0,,1051102.0,,64.0,16.0,238341.0,1962,7882622.0,1772585.0,4446964.0,North America,4.0,510.0,1.0,,,14
Uruguay,1041111,,7664.0,,1030944.0,,2503.0,18.0,297799.0,2192,6114822.0,1749083.0,3496016.0,South America,3.0,456.0,1.0,,,716
Mongolia,1011459,,2284.0,,1009175.0,,0.0,,299418.0,676,4030048.0,1193000.0,3378078.0,Asia,3.0,1479.0,1.0,,,
Nepal,1003450,,12031.0,,991322.0,,97.0,,33199.0,398,6047766.0,200088.0,30225582.0,Asia,30.0,2512.0,5.0,,,3
Belarus,994037,,7118.0,,985592.0,,1327.0,,105381.0,755,13646641.0,1446722.0,9432800.0,Europe,9.0,1325.0,1.0,,,141
Latvia,982320,,6694.0,,971406.0,,4220.0,,531318.0,3621,7885792.0,4265272.0,1848837.0,Europe,2.0,276.0,0.0,,,2283
Saudi Arabia,841469,,9646.0,,,,,,23475.0,269,45481735.0,1268848.0,35844909.0,Asia,43.0,3716.0,1.0,,,109
Paraguay,837602,,20155.0,,,,,,114648.0,2759,2657506.0,363751.0,7305843.0,South America,9.0,362.0,3.0,,,16306
Azerbaijan,834649,,10400.0,,824089.0,,160.0,,81032.0,1010,7748050.0,752223.0,10300205.0,Asia,12.0,990.0,1.0,,,16
Bahrain,729549,,1574.0,,727915.0,,60.0,,408944.0,882,10948549.0,6137138.0,1783983.0,Asia,2.0,1133.0,0.0,,,34
Cyprus,681110,,1365.0,,679745.0,,0.0,,556741.0,1116,9640118.0,7879860.0,1223387.0,Asia,2.0,896.0,0.0,,,
Dominican Republic,675890,,4384.0,,671316.0,,190.0,4.0,61131.0,397,3740928.0,338350.0,11056370.0,North America,16.0,2522.0,3.0,,,17
Sri Lanka,672750,,16897.0,,655852.0,,1.0,,31181.0,783,6486117.0,300619.0,21575842.0,Asia,32.0,1277.0,3.0,,,0.05
Kuwait,667094,,2570.0,,,,,,152293.0,587,8455743.0,1930391.0,4380326.0,Asia,7.0,1704.0,1.0,,,979
Myanmar,641801,,19495.0,,620159.0,,2147.0,,11621.0,353,11672345.0,211352.0,55227143.0,Asia,86.0,2833.0,5.0,,,39
Moldova,634508,,12206.0,,,,,,158106.0,3041,3216305.0,801437.0,4013171.0,Europe,6.0,329.0,1.0,,,29443
Estonia,627875,,3001.0,,,,,,474976.0,2270,6949502.0,5257167.0,1321910.0,Europe,2.0,440.0,0.0,,,75560
Palestine,621008,,5404.0,,615445.0,,159.0,,116173.0,1011,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,,,30
Venezuela,552695,,5856.0,,546537.0,,302.0,31.0,18885.0,200,3359014.0,114771.0,29266991.0,South America,53.0,4998.0,9.0,,,10
Egypt,516023,,24613.0,,442182.0,,49228.0,122.0,4861.0,232,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,,,464
Qatar,514524,,690.0,,513687.0,,147.0,16.0,172664.0,232,4065369.0,1364257.0,2979915.0,Asia,6.0,4319.0,1.0,,,49
